gene, B cells_naive, Monocytes_CD14+, Monocytes_CD16+, NK cells, T cells_CD4+_memory TREG, T cells_CD4+_naive, T cells_CD4+_naive_stimulated, T cells_CD4+_naive TREG, T cells_CD4+_TFH, T cells_CD4+_Th1_17, T cells_CD4+_Th17, T cells_CD4+_Th1, T cells_CD4+_Th2, T cells_CD8+_naive, T cells_CD8+_naive_stimulated
AC015849.1,,,,2.257211796,,,,,,,,,,,
AC015912.3,,4.035224471,,,,,,,,,,,,,
AC016074.2,,,-5.078091261,,-2.716025037,,,,-2.682761332,-2.097113313,-2.16284697,-2.512413256,-2.54954304,-2.348493652,
AC016168.2,-3.537969927,,,,,,,,,,,,,,
AC016831.1,,,,,,,,,,2.308866903,,,,,
AC016831.5,,,,,,,,,,1.978894357,1.838516122,,1.707249698,2.407610962,
AC016831.7,,,3.815168593,,4.150428421,,3.494543194,,3.804451605,3.307928376,3.644763925,,,,
AC017104.1,,,,3.098971464,,,,,,,,,,,
AC018682.1,4.58871353,,,,,,,,,,,,,,
AC018816.1,,,,4.756413709,,1.568713227,,,2.45523758,3.116470528,2.363063895,,2.660760004,,
AC019197.1,,-6.066653453,,,,,,,,,,,,,
AC020656.1,,,3.901734432,,,,,,,,,,,,
AC020911.2,,,,,,2.958915299,,,2.546237562,,3.527928059,,,3.397333096,
AC020916.1,4.445476448,,,3.697979447,3.983957326,,,,3.785917816,4.116571134,3.51571531,4.289228567,4.426232756,,
AC021752.1,,,,5.159220309,,,,,,,,,,,
AC022075.1,,,,-1.71371021,,,,,,,,,,,
AC022182.1,,,,,,,,,,,5.297955068,,,,
AC022217.3,,,,5.596878825,4.997457677,,,,5.113840722,5.386233369,5.594962745,5.365116914,4.944730998,5.103146414,
AC022509.2,,-6.313800717,,,,,,,,,,,,,
AC023424.3,,,,,5.762317813,,,,5.641866743,5.673528901,6.002455142,5.350263235,,,
AC024084.1,,,-3.653365776,,,,,,,,,,,,
AC025048.4,,-6.277233184,,,,,,,,,,,,,
AC025159.1,1.38489987,,,,,1.261150825,,,,,,,,1.493980109,
AC025164.1,,,,2.783707455,,,,,1.08950075,,,,,,
AC025580.2,,,6.215519688,,,,,,,,,,,,
