gene, B cells_naive, Monocytes_CD14+, Monocytes_CD16+, NK cells, T cells_CD4+_memory TREG, T cells_CD4+_naive, T cells_CD4+_naive_stimulated, T cells_CD4+_naive TREG, T cells_CD4+_TFH, T cells_CD4+_Th1_17, T cells_CD4+_Th17, T cells_CD4+_Th1, T cells_CD4+_Th2, T cells_CD8+_naive, T cells_CD8+_naive_stimulated
DDA1,0.959891482,,,0.884799598,,1.558972866,,,1.320919848,1.612239738,,,,,
DDAH2,,,-1.863780748,,,,,,,,,,,,
DDB1,1.531872321,-1.125502792,,,,1.208717655,,,1.48933524,1.874820156,,,,1.210781665,
DDB2,-2.469938022,,,,,,,,,,,,,,
DDHD1,1.19352916,,,,,1.164572384,,2.11567818,1.445371647,1.924297634,2.35212186,,,1.324451516,
DDI2,,,,,3.555653769,3.122610021,2.879491114,3.684642714,3.325654711,2.597221452,,2.867515859,,2.434994476,
DDIT3,2.689811208,2.692901905,2.271906501,2.689898265,3.125735092,2.614982532,,2.553974663,2.803039514,2.656561606,3.320427855,3.025730218,3.025225769,2.915608648,
DDIT4,,,,,,,-2.122212718,,2.69233906,,,2.97911074,2.141682243,-1.278657327,
DDN-AS1,,,,3.839415564,,,,,,,,,,,
DDOST,-1.504427543,-0.885557671,-2.19184211,-0.822601108,-4.838505426,,,,,-3.50448483,,,-2.689479399,-0.76146408,
DDRGK1,,,-1.907829301,,,,,,,,,,,,
DDT,-1.234216797,-0.888150856,-1.933774514,-1.10776302,-3.284555111,-0.950459858,,-1.194784594,-2.21614683,-2.082799747,-2.917345244,-1.636155734,-2.307453491,-0.879023476,
DDX1,-1.384251563,-1.525990752,-1.193715388,,,,,,,,,,,,
DDX10,,-3.137020656,,,,1.733682749,,,,,,,,,
DDX17,,,-1.542407573,,-2.472850493,,,-1.066431549,-1.20607371,-1.451683781,-1.888342493,-1.572776621,-1.432495283,-0.910822001,
DDX18,,-1.219880343,-1.882934514,,-3.557084601,-0.570891137,,-1.074076371,-1.640745067,-1.53689474,-3.291147661,,-2.128918944,-0.636883545,
DDX19A,,,,,,1.072583984,,,,,,,,,
DDX19B,1.322002955,,,,,,,,,,,,,,
DDX21,,,,,,1.692617297,1.075901654,1.818596965,1.697239456,,,1.747276476,,1.63226721,
DDX23,,,-4.394721671,,,,,,,,,,,,
DDX24,,,-1.712591263,,-3.075443926,,-3.043047872,1.297025246,,,,0.932405853,,0.84012211,
DDX27,0.812422677,-0.809841166,-2.408621595,0.786310595,,,,,,,,,,,
DDX39A,1.239116837,,,1.677945528,,1.405773965,,2.231387385,1.83070155,1.469312172,,1.587097939,,1.791915758,
DDX39B,,,-1.346978994,,,,,,,,,,,,
DDX3X,1.079503312,,,1.148551695,,,,0.906221871,0.895230915,1.284592181,,1.36892509,1.225012624,1.174502891,
DDX3Y,1.829225043,,,1.954052186,2.854059868,1.207458928,,1.8049369,1.892803521,2.145976925,1.727697429,2.268090389,1.988339786,1.553239236,
DDX42,,,-1.839637874,,,,,,,,,-1.400533276,,,
DDX46,-0.668447749,-0.995763734,-1.786692415,-0.842037198,-2.964023624,,,,,-1.297222176,-2.00374459,,-1.87124216,-0.449643796,
DDX5,,,,,-2.950122129,,,0.848798534,,,,,,,
DDX50,,,,,,,,,1.411089017,,,,,1.241478046,
DDX52,,1.431566134,,0.753182142,,0.848932555,,,1.344189237,,,,,1.079082936,
DDX58,,-2.982117615,-2.653345787,,,,,,-0.896607656,3.034303114,,,,,
DDX6,,0.877419897,,,1.54080191,0.905969512,,1.193199974,0.975866041,,1.437470455,,,1.1259985,
DDX60,,-4.521134496,,,,-1.242524657,,,,,,,-2.936825164,,
DDX60L,,,-1.458884383,-2.992192755,,-1.065710084,,,,,,,,-1.143761634,
DEAF1,,,,,,,,2.462217223,2.178412718,,,,1.85696636,2.021205805,
DECR1,-1.133021734,-0.987007114,-1.677354586,,-3.925405961,-1.070114937,,,,-1.570156972,-2.47410205,,-1.886998128,-0.748142304,
DEF6,,-0.86890942,,,,,,,,,,,-1.463901668,0.909311263,
DEF8,,-0.922410199,,,,,,,,,,,,,
DEGS1,,-2.455380883,,,,,,,,,,,,,
DEK,-0.89919927,,-1.423554765,-0.914189005,-3.131861141,,-2.271724062,-0.856436495,,-1.797934671,-1.833283941,-1.194538326,-1.705344489,,
DELE1,,-0.642244262,-3.706070576,,,,,,,,,,,,
DENND11,,,,,,1.327558395,,,1.233948028,,,,,1.718387245,
DENND1A,,,,,,,,,,,,4.108800161,,,
DENND1B,-0.900992382,,,,3.133909561,,,3.18352162,2.735449285,3.239438421,2.751580704,2.759301294,,2.681071907,
DENND1C,,,,1.135251717,,,,,1.720399099,,,,,,
DENND2D,,,,,,-1.889811294,,-2.027601166,-2.406876294,-2.521480866,-2.933172392,-2.591061532,-2.65172838,-1.911206307,
DENND3,2.062837547,,,,,,,,,2.8831684,3.9069186,,,,
DENND4A,,,,,3.415217662,3.055971482,3.219896861,3.530295067,2.755069355,,3.42647675,2.887466229,3.107988771,3.2615871,
DENND4B,,,-1.62983096,,,,,,,,,,,,
DENND4C,,,2.654768058,,,,,2.923109032,,2.181481391,2.426495954,2.240328775,1.80710476,,
DENND5A,2.578845209,,,3.272275047,,1.518893294,,,,2.346714896,,,,2.411381546,
DENND6A,-0.873021494,,,,,,2.215379581,2.081052753,1.674269826,,2.389670012,,2.181598126,,
DENND6A-AS1,,,,,,,,,6.017164261,,,,,,
DENR,,,,-0.8067641,,,,,,,,,-1.986644682,,
DERA,,-1.015637759,-2.389414224,,,,,,,,,,,,
DERL1,0.956401763,0.700748,-1.881762316,0.778067587,,,,,,,,,,,
DERL2,,,,0.693934608,,0.961099839,,,,,,,,,
DESI1,,,-1.748789453,,,,,,,,,,,,
DESI2,,1.323393342,-4.120595573,,,,,,,,,,,,
DGCR2,,,,,,,,,2.134810458,,,,,,
DGCR6L,,,-2.07636394,-1.191073713,,,,,,,,,,-0.935958373,
DGKA,,,,,-3.355180388,-0.800269805,,-1.002659711,-1.391110531,-1.96554622,-2.74402092,,-2.093823699,-1.185966443,
DGKE,,-2.988660862,,,,,,,,,,,,,
DGKH,,-3.614291286,,,,,,,,,,,,,
DGKZ,,,,-1.095423981,,,,-1.7737037,,-2.632360516,-2.624417277,,-2.276647371,-1.216850292,
DGLUCY,1.303347654,-1.6817015,-1.619233062,0.712272017,,,,,,,,,,,
DGUOK,-0.786705594,-1.072575875,-1.462070821,,-3.538838226,-0.755487489,,-1.356712441,,-2.781510475,-3.198713122,,-2.316284458,-0.915139759,
DHCR24,,-6.979638753,,,,,,,,,,,,,
DHPS,,,-1.839350986,,,-1.464817686,,-1.811843794,,,,,,,
DHRS3,,4.059697995,5.295753881,,,2.059552908,1.506804484,2.342483999,2.371441779,2.365581223,3.130471761,2.444112936,2.588292128,2.099197681,
DHRS4L2,,-1.105040508,-3.747901923,,,,,,,,,,,,
DHRS7,-1.997805942,,-1.966590978,-1.408045867,-3.769104366,,,-2.391366466,-1.536166938,-2.454479329,-4.182025459,-1.863579654,-2.244591873,-1.771637295,
DHRS7B,,-1.138197218,-1.81902624,,,,,,,,,,,,
DHRSX,,,,,3.39880225,-1.011349677,,,,,3.162837693,,,,
DHX15,1.298903521,,,,,0.892903835,,,1.074468404,1.668345052,,,,1.479598612,
DHX29,0.925623897,,,,,0.926356659,,,0.795919032,,,,,0.953597832,
DHX35,,,,,,2.702383698,,,,,,,,,
DHX36,1.156341867,,-1.085040805,,,,,,,1.472424523,,,,0.849359385,
DHX40,1.615218957,,,0.951082492,,1.477997676,,2.610302025,1.930144902,2.374128027,,2.011013239,1.939829995,1.64259349,
DHX57,,-0.993846086,,,,,,,,,,,,,
DHX8,1.134255635,1.054932081,,1.40929275,2.378340136,1.126159824,,1.890610924,1.231145143,1.758568973,,1.578119773,,1.531829153,
DHX9,1.346644884,,,,,,,1.66241917,1.405641356,1.852901489,1.765628019,1.463718224,1.694132156,1.594130396,
DIAPH1,1.163851552,,,,,,,,,,,,,0.864907353,
DIAPH2,,,,,,1.799691797,,3.085946909,3.310857384,,2.461320866,2.667325829,,2.449791343,
DICER1,,,-1.50671256,-0.864617267,,,,2.390254603,,,,,,1.307993848,
DIDO1,1.300692497,,,1.10087291,,1.020292578,,,1.190219641,,,,1.884893367,1.167493355,
DIMT1,,,,,,-1.199975085,,,,,,,,,
DIP2A,,-1.345007702,,,,,,,,,,1.575779003,,1.539970912,
DIP2B,,,,,3.034818418,,1.328410722,,,3.694252271,3.371223912,3.483354577,3.095761285,,
DIPK1A,,,,,4.436142394,,,4.149346742,,,3.973808517,,,3.661261912,
DIPK2A,,,-2.532738732,1.847338245,,,,,,,,,,,
DIS3,1.167802456,,,1.384943319,,1.263222725,,2.045288985,1.227204038,1.231658453,1.366355207,1.7067264,,1.431031796,
DIS3L2,,,,,2.539075404,,,,2.309188523,2.394340494,2.068091717,2.019483664,,,
DLD,1.797817257,,,,,1.223904481,,2.77073805,1.587782959,,2.143987681,,,1.515073066,
DLEU1,,,-2.070929494,,,2.025962662,,2.99830485,2.529866917,,2.969084246,,,,
DLEU2,,,,,,2.973286005,,4.246798844,3.740609077,,3.810280831,3.073699632,,3.049738151,
DLG1,,,,,2.287983807,,,,2.267543502,,2.193182015,,,,
DLG5,,,,,,,,,,2.998064447,,,,,
DLGAP1-AS1,,,,,,,,,,,,,-2.315288523,,
DLST,2.057674717,,,1.798317028,,1.734424462,,2.04852974,2.067854245,2.315982106,2.938480021,2.444864361,,2.158746868,
DMAC1,-1.834047756,,,,,-1.344135292,,-2.028430648,-2.101706813,-2.675759338,,,,-1.629638379,
DMD,-1.774549175,,,,,,,,,,,,,,
DMTF1,,,,,,,,,1.339847373,,,,,1.008526712,
DMTN,,-4.002598562,3.480218214,,6.344892615,,,6.856440539,6.447654823,5.702086942,5.554181934,,5.462787206,,
DMXL1,,-1.95159736,,,,-0.56483449,,,,,,2.654848653,,,
DNAAF2,,,,,,,,,,,,1.903602116,,,
DNAJA1,,,,,,,-3.385242929,1.461616867,1.388286662,1.666039145,,1.651697273,,1.491977606,
DNAJA2,,,-1.277797532,,,,,,,,,,,,
DNAJA4,,,,,,,-3.926374676,,,,,,,,
DNAJB1,2.313279716,1.59568187,2.022406805,1.209809251,,,-3.346484202,,,,,,,,
DNAJB11,1.127778572,,,0.885139485,,1.664632101,,2.098766311,1.688583274,,,1.798916414,1.586918357,1.619656742,
DNAJB12,1.080259626,,,0.919264985,,1.32522069,,,,,,,,1.558640948,
DNAJB14,,,,,,,,,,,,,,1.018753036,
DNAJB5,,-5.755909264,,,,,,,,,,,,,
DNAJB6,,0.999059631,0.928016803,,,1.084510304,-2.868509338,1.354917241,1.466797838,1.715833407,1.756255746,1.617117812,1.531461221,1.09754044,
DNAJB9,1.592160212,,,1.626943957,,1.439046141,-2.03018628,,,1.814029454,,3.039281978,,,
DNAJC1,,,,,1.643110437,1.637577035,,2.518828014,1.930772237,,,2.000114201,2.063045351,1.999744687,
DNAJC10,-0.911233338,-1.283941915,,,,,,,,,,,,,
DNAJC13,,,-1.408759971,,,,,,,,,,,,
DNAJC15,,,,,,,,,1.121495836,,,,,,
DNAJC18,,,,,,,,,,,,5.533038988,,,
DNAJC19,,,-2.533595275,,-4.038796299,-1.069706673,,-1.744047577,-1.359710551,-2.042129527,-3.094496038,,-2.009639663,-1.216743107,
DNAJC2,,0.986142455,-2.933276445,,,1.070388307,,,1.294160586,1.482302102,,1.623172324,,1.140501993,
DNAJC21,0.469546653,-0.488006767,-1.079324585,,,,-3.270486333,,,,,,,,
DNAJC25,,,2.490816524,,,,,,,,,,,,
DNAJC27,,,,,,2.234589183,,,,,,,,,
DNAJC3,1.428889214,,,,2.008454884,1.124162801,,1.458029172,1.325869793,1.455152788,,2.147038666,,1.458483612,
DNAJC4,,-0.872936045,,,,,,,,,,,,,
DNAJC5,,,,1.989883596,,1.530587901,,,,,,2.507537691,1.862187023,,
DNAJC7,0.622157715,,,,,0.748294257,,1.151885852,,,,,,0.799795104,
DNAJC8,,-0.864659571,-1.142742135,-0.808766376,-2.873058646,,,,,-1.530788743,-3.133765443,,-1.925632121,,
DNASE2,,1.811388115,,,,,,,,,,,,,
DNM1L,,,,,,1.121135291,,,1.343704017,,,1.708578565,,1.329376128,
DNM2,1.51690072,,,,2.001507112,1.972198728,2.388516945,3.288005067,2.432789183,2.670904119,2.574180829,2.440424916,2.472452956,2.356740757,
DNM3,,-4.257558419,,,,,,,,,,,,,
DNMBP,2.849491007,,,,,,,5.504986253,,,,5.455757003,,,
DNMBP-AS1,5.503553993,,,,,,,,,,,,,,
DNMT1,1.306232266,-2.532774344,-1.395400282,,,-1.026966327,,-1.420899596,,,,,-2.18072962,-1.2741627,
DNMT3A,,2.038356981,,,,,,,,,,,,,
DNPEP,,,-1.606062299,,,,,,,,,,,,
DNPH1,-1.893455068,-2.61190669,-1.878382457,,-3.475639414,,,-1.442383298,,-2.479479999,,,-2.336758862,-0.995520208,
DNTTIP1,,-1.521996963,-2.001391793,,,,,,,,,,,,
DOCK11,,,,,,,,,,-1.404905245,,,-2.060167471,,
DOCK2,,,,,,,2.065589538,,1.53498109,1.564491611,1.80825596,1.799413328,,,
DOCK7,,-2.304721478,,,,,,,,,,,,,
DOCK8,,,,,,,,-0.80275093,,,,,,,
DOCK9,,,,,,,,-1.740078637,,,,3.03968161,,,
DOK2,,,-2.192871663,,,2.518975991,,2.140041225,2.798142027,,,2.465304895,,,
DOK3,,1.070718127,,,,,,,,,,,,,
DOP1A,,,,-1.477317434,,,,,,,,,,,
DOT1L,1.950767864,,2.443028197,2.193438792,,,,,,,,,,,
DPEP2,,,,-2.663944371,,-1.74002615,,,-1.744144009,-3.282533803,,,-3.100399601,,
DPF2,-1.182909634,,-1.311647566,,,,,,,,,,,,
DPH3,,,,,,,,,,,,,,2.144486138,
DPH5,,,,,,-1.127616629,,,-1.192599246,,,,,-1.111516145,
DPM1,0.951220338,,,0.927865034,,1.157679855,,,1.456736716,,,,,1.348781157,
DPM2,,,,,2.543070251,,,,,,,,,,
DPM3,-2.206494885,-1.445857029,-1.516283893,-1.609182608,,,,,,-3.358373284,,,-2.725365769,-1.7261958,
DPP4,,,,,,1.202652822,,,,-2.180873333,,,,,
DPP7,-1.06397092,-1.330263045,-1.301979269,,-3.055963007,,,-1.724478728,-1.188299881,-2.053001973,-3.630193969,,-2.157514455,-1.257231995,
DPP8,,,,,,,,,,,,1.737859777,,1.364992621,
DPP9,,,,0.774964202,,,,,,,,,,,
DPY30,-2.186187849,-2.335386089,-2.151606111,-1.612898688,-4.34373755,-1.467935667,,-1.605662864,-1.701889945,-2.203377021,-2.619145977,,-2.700202975,-1.92407213,
DPYD-AS1,,-1.39232708,,-1.836179385,,,,,,,,,6.394434838,,
DPYSL2,,-1.778571443,-2.123631719,,,,,,,,,,,,
DR1,1.118323269,,-1.262184864,0.784259951,,0.752133385,,,,,,,,,
DRAM1,,2.110067701,,,,,,,,,,,,,
DRAM2,,,-1.237726764,,,,,,,,,,,,
DRAP1,,,,-1.342670412,-3.204845618,-0.954097271,,-1.401341673,-1.689481257,-1.774100565,-1.872854528,,-1.994472132,,
DRG1,,,,,,1.219002013,,,,,,,,2.10533269,
DSC2,,2.062471257,,,,,,,,,,,,,
DSE,1.630984814,,,,,,,,,3.273243523,3.826228473,,,,
DSEL,,,,,,,,,,,,,,-3.295369938,
DSTN,,-1.333534965,-1.035988772,,-3.816744101,,-3.230165024,-1.7073196,,-2.315400872,-4.020476134,,,-0.873878565,
DSTYK,,,,-0.966739984,,2.39418891,,,2.210748905,,,,,,
DTD1,,,-2.536248015,-0.801411052,,,,,,,,,,,
DTNB,,-3.805869139,,,3.742113085,,,,3.365607054,,3.443037766,3.865446004,,,
DTWD1,,,-2.111858686,,,,,,,,,,,,
DTX3L,,-1.570114254,-1.799208003,,,,,,,,,,,,
DUS1L,,,,,,,,,,,,,,-1.049289643,
DUSP1,,,,,,2.58747555,,4.337029329,,,,,,2.718611906,
DUSP10,4.343522171,,,3.222122831,2.924441544,,,3.989590062,,3.417409818,4.088396316,2.897949167,3.248238714,,
DUSP11,,,,,,1.015857336,,,,,,,,,
DUSP16,,,,,,,,,,,,,,3.054810573,
DUSP2,3.452891105,-2.62038786,,,,,-3.698112694,,,,2.95242047,,3.194002567,,
DUSP23,,-2.166853844,-3.038369428,,,,,,,,,,,,
DUSP4,,,,,3.595872495,,,,,,,5.876893856,,,
DUSP5,3.049538887,,,,,,,,3.565276443,4.088494467,4.457655998,4.099930813,4.780584098,,
DUSP8,3.643366933,,,3.778991427,,4.9922033,1.939317637,5.090525899,4.93786351,4.047820247,4.865532436,4.313975424,4.505088476,5.407856263,
DUT,,-1.793357524,-2.194410143,-1.562355726,-3.312676122,-1.3154975,,-1.860917472,-1.733664802,-2.752941244,-2.797794697,-1.84608078,-2.030246421,-1.496247796,
DYM,,,,,,,,,,2.855819988,2.930984773,,,,
DYNC1H1,1.505777046,,,,,0.572324053,,,,,,1.251182413,,0.779899084,
DYNC1I2,,-1.726915911,-1.939302085,-1.862379824,,-1.306981906,-2.556630668,-1.251847421,-1.739583176,-2.130621191,,-1.61786503,-2.170451516,-1.197930001,
DYNC1LI1,0.724540581,,-1.762211637,1.079223147,,,,,,,,,,,
DYNC1LI2,,,,0.939432548,,1.097067097,,,,,,,,,
DYNLL1,,,-2.313927828,,-2.988785723,-2.3224131,-4.042414582,-2.363778856,-1.180550687,-1.971063744,-2.48686079,,-2.241912655,-2.490835877,-3.268089295
DYNLL2,,0.759698899,,1.123077241,,,,2.32391057,1.294757,,,1.921687981,1.631962036,,
DYNLRB1,,,-1.326188006,,-2.889385039,-1.122379086,-2.245643661,-1.429438266,,-1.662874642,-1.845737147,,-1.923088191,-1.229665985,
DYNLT1,1.799906153,-0.966861477,,,,,,,1.335345238,,1.241398465,,1.575487513,,
DYNLT3,,-2.813461027,,,,0.910919211,,,,-2.81209539,,,,,
DYRK1A,,,,,2.53263477,,3.56270607,,2.224914767,,2.511180913,2.655762702,2.16248313,,
DYRK2,,,,-1.282247113,,,,,,,,,,,
E2F1,,,,,,,,,6.507849081,,,,,,
E2F2,,,,,5.573293642,,,,7.69017414,,6.361948172,,,,
E2F3,2.520218053,,2.312354983,-1.682732032,,-2.046206592,,,,,,,,,
E2F5,1.458367004,,,,,,,,,,,,,,
EAF2,,,-1.480512847,,,,,,,,,,,,
EAPP,,,,,-2.560356933,0.990733835,,1.339046175,1.11729252,,-1.892290867,,,1.042097409,
EBAG9,-1.056127402,,,,,,,,,,,,,,
EBLN3P,,,-2.021325305,-0.980517922,,,,,,,,,,-1.051434544,
EBPL,-2.397486477,,,,,-1.247250205,,-2.711787945,,,,,-3.021193769,-1.931799708,
ECD,1.976504214,1.219507278,,,2.925022368,1.865314811,,2.529422017,2.169974965,2.779373247,1.91152834,2.007854147,2.199022144,2.144557721,
ECE1,2.479648249,,2.479309744,2.627336963,2.826297412,1.535101583,3.353120356,,2.228619081,2.55273328,2.478473809,1.89109125,2.263375351,,
ECH1,,-1.487562006,-1.790142771,-1.603156763,,-1.535446093,,-2.101649642,-1.372456544,-2.310549341,-2.54169443,-1.67165493,-2.519869042,-1.909585902,
ECHDC1,,,-2.160579374,,,-0.969506282,,,,-2.195948473,,,-2.50082135,-1.028048008,
ECHDC2,,,,,,1.054166551,,,1.526542363,,,,,,
ECHS1,-1.897347877,-1.297442106,-1.461781402,-1.050295151,,,,,,-2.940304333,,,-3.702599357,-2.080959187,
ECI2,,,-2.592552447,,,,,,,-1.982073666,,-1.908106173,,,
ECPAS,,,,,2.633193326,2.094372704,,,2.757940669,2.422558731,2.551065997,2.521688157,3.10032845,3.214826239,
EDA,,,,,,3.794172155,,,,,,,,,
EDEM1,1.122648297,,,,,,,,,,,,,,
EDF1,-1.128545944,-1.074038151,-1.463171941,,-2.093369911,-0.893635355,-2.276951853,-1.267889287,-1.282887821,-1.466962589,-1.826447021,-1.19377559,-1.477780459,-0.904438095,
EDRF1,,,,,,1.275301306,,,1.551849809,1.790102321,2.16974251,1.676539475,,1.648421586,
EEA1,,,-2.182592678,,,,,-1.425043731,,,,,,,
EEF1A1,,,-0.969398395,,-2.178801104,,,-0.654946439,-1.185344094,,-1.430607487,,,,
EEF1AKMT2,,,,1.829141966,,1.717242301,,,,,,1.592409097,,,
EEF1B2,,,-1.360272287,,-2.086845916,,,-0.883931962,-1.057501866,-0.985485849,-1.188972971,,,,
EEF1D,-0.774147621,,-1.203985256,,-1.978910254,,0.961038322,-0.851532717,,-0.944727424,-1.217695386,-0.785638307,-0.916725166,,
EEF1E1,-1.447921103,,-1.564395374,,,,,,,,,,,,
EEF1G,,,-1.2969904,,-1.880146418,,,-0.780181681,-1.211148274,-1.076304658,,,,,
EEF2,,,,,-2.298946527,,1.250636075,,,,,,,0.546949649,
EEF2K,3.16421946,,,,,,,,,,,,,,
EEPD1,,,5.023733371,,,,,,,,2.588797363,,,,
EFCAB14,-0.880800882,,,-0.805232594,,,,,,,,,,,
EFCAB2,1.552374447,,,,3.55785442,2.165041542,,,1.991189809,2.426375293,,2.603110507,,2.482588177,
EFHD2,1.367970867,,-2.069200625,,,,,,,,,1.474488805,,,
EFNA5,,,,3.450010149,,,,,,,,,,,
EFR3A,,,,,2.111485836,1.756430708,,2.134688652,2.126560249,2.024865033,1.68427089,1.877524502,2.143787164,1.881124101,
EFTUD2,1.794638765,,,,,1.735480897,,,1.927319666,1.792880907,,,,2.169438804,
EGFL7,,-5.655807435,,,,,,,,,,,,,
EGLN2,-1.587211951,-1.082431427,-2.772708325,,,-1.752942855,,,-1.821026764,-2.097745922,-3.39451206,,-2.486447306,-1.417792411,
EGLN3,,-5.022083985,,,,,,,,,,,,,
EGR1,5.764314453,,,6.332914806,,,,3.616511902,,,,5.341690311,,,
EGR2,,-5.034680595,,,,,,,,,,,,,
EGR3,,-3.486338109,,,,,,,,,,,,,
EHBP1,-0.997818517,-2.307622494,,-1.533641187,,,,,,-3.387768328,,,,-1.771231914,
EHBP1L1,1.335630211,,,,,,,,,,,,,,
EHD1,1.415576735,,1.824289995,,,,,,,,,,,,
EHD3,,-4.149749983,,,,,,,,,,,,,
EHD4,,,,2.555692752,,2.421056631,,3.091678481,2.43759227,2.560538564,2.103929032,2.781250314,1.999109376,2.708115835,
EHMT1,,,,,2.037511185,,,,1.581465238,1.789434312,,1.75667,1.710851699,,
EID1,-1.154251985,,-1.325996933,-1.195946649,-2.74954322,,,-1.076504038,,-1.602993967,-1.924072511,-1.691592164,-1.804396745,,
EIF1,,,,,,0.907239108,,1.019731534,,,,,,0.949422976,
EIF1AX,,,-1.095748488,0.705392949,,,-2.367435439,,,,,,-1.443514923,0.711232731,
EIF1AY,-1.207582454,-1.505885087,-1.673765005,,2.535414624,,,,,,,,,,
EIF1B,,,1.555609399,,,0.886187742,,1.745025165,1.170825719,,1.180848663,,1.17534458,0.963962461,
EIF2AK1,,,3.170047354,,2.655098776,0.557748603,,,1.737888773,,,,,,
EIF2AK2,1.254839613,,,,,,,,,,,,,1.669602865,
EIF2AK3,,,3.67074876,,4.234617606,2.642485506,2.102494111,3.248733342,3.894830243,3.642253746,4.094794883,3.702741314,3.806612239,3.680097713,
EIF2AK4,1.724376732,-0.826488333,,,,,,,,,,,,,
EIF2S1,-1.580853482,-1.923490363,-1.939626749,,,,,,,,,,,,
EIF2S2,,,-1.372219106,,-2.258548353,,-2.465200712,,,-1.356116127,-1.49535966,,-1.453800136,,
EIF2S3,,,,,-3.140998422,,,,,,,,-2.035547075,0.382902804,
EIF3A,0.858664496,,,,,0.738897055,,1.381933625,1.171487119,,,1.209539557,,0.699906203,
EIF3B,,,,,,0.906778376,,,1.09531787,,,,,1.193248079,
EIF3D,,,-1.705751817,,-3.087054287,,,-0.996583413,,-1.703744124,-3.561663337,,-2.348549209,-0.466993484,
EIF3E,,,-1.432399611,-0.574840814,-3.705279714,,,,,-1.157834885,-2.429897584,,-1.383020287,,
EIF3F,,,-1.491428867,,-3.269765536,,,-0.988265626,,-1.362787572,-3.062349216,,-1.320326861,,
EIF3G,,,-1.760419817,,-2.700081327,-0.679808074,,-1.259232735,-1.731510044,-1.668516316,-1.953368394,,-1.424404178,-0.774348687,
EIF3H,,,-1.17920258,,-2.541493708,,,,,,-2.30916883,,-1.495479765,,
EIF3I,,-0.842218624,-1.24446841,-0.823566801,,,,,,,,,-2.28605976,,
EIF3J,0.751533804,,,,,0.746616494,,,0.96640729,,1.411176121,0.795396391,,0.926774267,
EIF3K,,,-1.01828013,-0.811373419,-2.842700576,-0.521108967,,-0.933992374,-1.074097731,-1.148871869,-1.667343951,,-1.271447123,,
EIF3L,,,,-0.70649353,-3.472520933,,,,,,,,,,
EIF3M,,,-1.830890073,,-2.91837117,,,,,-1.99845345,-2.808477614,,-2.156297697,0.534753663,
EIF4A1,,,,,,,-2.58043565,,,,,,,,
EIF4A2,,,-1.299274947,,-2.828656672,,,-1.129385475,,-1.123722041,-1.735178483,,-1.22927848,,
EIF4A3,1.831796864,,,,,1.759108873,,2.483373557,1.45870269,2.047902414,,2.153531946,,2.408963753,
EIF4B,,,-1.699823619,,-3.215845349,,,-1.248109399,,-1.755527716,-2.927199931,-0.840365696,-1.793157224,,
EIF4E,1.658163972,,,1.09271664,2.005847096,1.007769818,,,1.748611931,,,,,1.299056745,
EIF4E2,,-0.835297654,-1.331125853,,,1.026099699,,,,,,,,,
EIF4E3,,,2.135076074,-1.322276623,,,,,1.169950953,,,,,,
EIF4EBP1,,-1.069481108,-2.725512518,,,,,,,,,,,,
EIF4EBP2,,,-1.101876432,-1.538301563,,,,,,,,,,,
EIF4G1,,,-1.504698264,0.709460352,,,,,,,,,,,
EIF4G2,,,,,-2.41098698,0.664381163,,,0.940754957,-0.873905302,,,,0.674712935,
EIF4G3,,,,,,,,,,,,3.164351471,,,
EIF4H,1.003942202,,,0.737633622,,0.84819441,,,0.892212864,1.194541083,,1.049186467,,0.88176144,
EIF5,1.256771969,1.119951834,,0.93874513,,,,1.345730252,1.017277885,0.996096707,1.499634961,1.220626789,1.333614613,1.112631886,
EIF5A,,,-0.904686826,,,1.113475338,,1.554169551,1.330774266,1.333491215,,1.393048725,,1.064940863,
EIF5B,,,-2.08149212,,,,,,,,-2.67644812,,-1.688038973,,
EIF6,,,-1.444293558,,,,-2.431912557,,,,,,,,
ELAVL1,0.732524984,,,0.687167569,,0.762285517,,,,,,,,,
ELF1,,,,,,1.363652564,,1.739208039,1.338567071,1.692950139,,1.492442903,,1.307408042,
ELF2,,,,,1.796482261,,,2.062581251,1.56084861,2.098265361,,2.236347525,,,
ELK3,,,,,,,,1.794413421,,,,,,,
ELL,2.45940701,,1.9907229,3.067183497,,2.113779992,,,2.198262969,2.542637354,2.543660724,2.567101672,,,
ELL2,,,,,4.368955541,,1.352329297,4.192603742,4.406316243,,4.608345325,,4.122686773,,
ELMO2,,,,1.607126977,,2.489689192,,,1.536595386,2.994228962,2.922867882,3.807998695,2.634512801,,
ELMSAN1,,,,1.859194869,,,,,,,,,,,
ELOA,,,,,,,,,,1.534883329,,,,,
ELOB,,,,,-1.402968216,-0.712326534,-1.788566635,-0.699889835,,-1.001953192,-0.738987867,,-0.866218327,,
ELOC,,0.653585631,,,-3.153035778,0.605954473,,,,,,,,0.62604144,
ELOF1,,1.051441205,,,,,,,,,,,,,
ELOVL1,,-1.832695722,-1.714556075,,,,,,,,,,,,
ELOVL5,,,,,1.746900088,1.604831925,,2.361115177,2.355975578,2.341610373,2.11676941,2.290406306,,2.220286655,
ELOVL7,,-5.045350358,,,,,,,,,,,,,
ELP2,,,,,,,,1.733034958,1.514321402,1.796046778,,1.555947575,,1.519008719,
ELP4,,-2.250819807,-2.143576701,,,,,,,,,,-2.510803266,,
